index_name,series_id,unique_id,ds,y
TOPIX1000,return,TOPIX1000_return,2009-08-20,0.0163651411
TOPIX1000,return,TOPIX1000_return,2009-08-21,-0.0119143043
TOPIX1000,return,TOPIX1000_return,2009-08-24,0.0244228886
TOPIX1000,return,TOPIX1000_return,2009-08-25,-0.0053456006
TOPIX1000,return,TOPIX1000_return,2009-08-26,0.0110501982
TOPIX1000,return,TOPIX1000_return,2009-08-27,-0.0118237983
TOPIX1000,return,TOPIX1000_return,2009-08-28,0.0053491705
TOPIX1000,return,TOPIX1000_return,2009-08-31,-0.0036603496
TOPIX1000,return,TOPIX1000_return,2009-09-01,0.0031518039
TOPIX1000,return,TOPIX1000_return,2009-09-02,-0.0196624865
TOPIX1000,return,TOPIX1000_return,2009-09-03,-0.0074308012
TOPIX1000,return,TOPIX1000_return,2009-09-04,-0.0074658438
TOPIX1000,return,TOPIX1000_return,2009-09-07,0.009739114
TOPIX1000,return,TOPIX1000_return,2009-09-08,0.0017443081
TOPIX1000,return,TOPIX1000_return,2009-09-09,-0.0070778694
TOPIX1000,return,TOPIX1000_return,2009-09-10,0.0200234305
TOPIX1000,return,TOPIX1000_return,2009-09-11,-0.0084649331
TOPIX1000,return,TOPIX1000_return,2009-09-14,-0.0173807033
TOPIX1000,return,TOPIX1000_return,2009-09-15,-0.0015986134
TOPIX1000,return,TOPIX1000_return,2009-09-16,-0.0009980663
TOPIX1000,return,TOPIX1000_return,2009-09-17,0.0087837366
TOPIX1000,return,TOPIX1000_return,2009-09-18,-7.20314e-05
TOPIX1000,return,TOPIX1000_return,2009-09-24,0.0112562654
TOPIX1000,return,TOPIX1000_return,2009-09-25,-0.0221600712
TOPIX1000,return,TOPIX1000_return,2009-09-28,-0.0219319521
TOPIX1000,return,TOPIX1000_return,2009-09-29,0.0013868681
TOPIX1000,return,TOPIX1000_return,2009-09-30,0.0064555345
TOPIX1000,return,TOPIX1000_return,2009-10-01,-0.015030223
TOPIX1000,return,TOPIX1000_return,2009-10-02,-0.0239961253
TOPIX1000,return,TOPIX1000_return,2009-10-05,-0.008610231
TOPIX1000,return,TOPIX1000_return,2009-10-06,0.0052864922
TOPIX1000,return,TOPIX1000_return,2009-10-07,0.0161515197
TOPIX1000,return,TOPIX1000_return,2009-10-08,0.002294122
TOPIX1000,return,TOPIX1000_return,2009-10-09,0.0118015848
TOPIX1000,return,TOPIX1000_return,2009-10-13,0.0038917331
TOPIX1000,return,TOPIX1000_return,2009-10-14,-0.0080093128
TOPIX1000,return,TOPIX1000_return,2009-10-15,0.011012887
TOPIX1000,return,TOPIX1000_return,2009-10-16,-0.003503248
TOPIX1000,return,TOPIX1000_return,2009-10-19,0.0052892565
TOPIX1000,return,TOPIX1000_return,2009-10-20,0.008514043
TOPIX1000,return,TOPIX1000_return,2009-10-21,0.000179351
TOPIX1000,return,TOPIX1000_return,2009-10-22,-0.0056271893
TOPIX1000,return,TOPIX1000_return,2009-10-23,-0.0073862604
TOPIX1000,return,TOPIX1000_return,2009-10-26,0.0095764471
TOPIX1000,return,TOPIX1000_return,2009-10-27,-0.0167612428
TOPIX1000,return,TOPIX1000_return,2009-10-28,-0.007560881
TOPIX1000,return,TOPIX1000_return,2009-10-29,-0.0073364382
TOPIX1000,return,TOPIX1000_return,2009-10-30,0.014235734
TOPIX1000,return,TOPIX1000_return,2009-11-02,-0.0160489041
TOPIX1000,return,TOPIX1000_return,2009-11-04,0.000864263
TOPIX1000,return,TOPIX1000_return,2009-11-05,-0.0071701704
TOPIX1000,return,TOPIX1000_return,2009-11-06,-0.0008146531
TOPIX1000,return,TOPIX1000_return,2009-11-09,-0.0038011376
TOPIX1000,return,TOPIX1000_return,2009-11-10,0.0020240667
TOPIX1000,return,TOPIX1000_return,2009-11-11,-1.10487e-05
TOPIX1000,return,TOPIX1000_return,2009-11-12,-0.0049669971
TOPIX1000,return,TOPIX1000_return,2009-11-13,-0.0009985247
TOPIX1000,return,TOPIX1000_return,2009-11-16,-0.0072175722
TOPIX1000,return,TOPIX1000_return,2009-11-17,-0.0037021973
TOPIX1000,return,TOPIX1000_return,2009-11-18,-0.008206172
TOPIX1000,return,TOPIX1000_return,2009-11-19,-0.0147148716
TOPIX1000,return,TOPIX1000_return,2009-11-20,0.0012290284
TOPIX1000,return,TOPIX1000_return,2009-11-24,-0.0112558516
TOPIX1000,return,TOPIX1000_return,2009-11-25,0.0049668339
TOPIX1000,return,TOPIX1000_return,2009-11-26,-0.0045614203
TOPIX1000,return,TOPIX1000_return,2009-11-27,-0.0226437264
TOPIX1000,return,TOPIX1000_return,2009-11-30,0.0358209055
TOPIX1000,return,TOPIX1000_return,2009-12-01,0.0212783406
TOPIX1000,return,TOPIX1000_return,2009-12-02,0.0011893684
TOPIX1000,return,TOPIX1000_return,2009-12-03,0.0344375296
TOPIX1000,return,TOPIX1000_return,2009-12-04,0.0020151347
TOPIX1000,return,TOPIX1000_return,2009-12-07,0.0095573077
TOPIX1000,return,TOPIX1000_return,2009-12-08,-0.0023988675
TOPIX1000,return,TOPIX1000_return,2009-12-09,-0.0133865499
TOPIX1000,return,TOPIX1000_return,2009-12-10,-0.0127085634
TOPIX1000,return,TOPIX1000_return,2009-12-11,0.0170159601
TOPIX1000,return,TOPIX1000_return,2009-12-14,-0.0039877015
TOPIX1000,return,TOPIX1000_return,2009-12-15,-0.000511315
TOPIX1000,return,TOPIX1000_return,2009-12-16,0.0155551407
TOPIX1000,return,TOPIX1000_return,2009-12-17,-0.0022510076
TOPIX1000,return,TOPIX1000_return,2009-12-18,-0.0031045382
TOPIX1000,return,TOPIX1000_return,2009-12-21,-0.002273899
TOPIX1000,return,TOPIX1000_return,2009-12-22,0.0132093208
TOPIX1000,return,TOPIX1000_return,2009-12-24,0.0119711134
TOPIX1000,return,TOPIX1000_return,2009-12-25,-0.0047929579
TOPIX1000,return,TOPIX1000_return,2009-12-28,0.0067531055
TOPIX1000,return,TOPIX1000_return,2009-12-29,0.0010934554
TOPIX1000,return,TOPIX1000_return,2009-12-30,-0.009094992
TOPIX1000,return,TOPIX1000_return,2010-01-04,0.0091042065
TOPIX1000,return,TOPIX1000_return,2010-01-05,0.0042852587
TOPIX1000,return,TOPIX1000_return,2010-01-06,0.0127169112
TOPIX1000,return,TOPIX1000_return,2010-01-07,0.0007538313
TOPIX1000,return,TOPIX1000_return,2010-01-08,0.0102262448
TOPIX1000,return,TOPIX1000_return,2010-01-12,0.0137180184
TOPIX1000,return,TOPIX1000_return,2010-01-13,-0.0107714808
TOPIX1000,return,TOPIX1000_return,2010-01-14,0.0160732781
TOPIX1000,return,TOPIX1000_return,2010-01-15,0.0079098381
TOPIX1000,return,TOPIX1000_return,2010-01-18,-0.0093396923
TOPIX1000,return,TOPIX1000_return,2010-01-19,-0.008343017
TOPIX1000,return,TOPIX1000_return,2010-01-20,-0.0053355946
TOPIX1000,return,TOPIX1000_return,2010-01-21,0.0121635424
TOPIX1000,return,TOPIX1000_return,2010-01-22,-0.0159093229
TOPIX1000,return,TOPIX1000_return,2010-01-25,-0.0068466754
TOPIX1000,return,TOPIX1000_return,2010-01-26,-0.0196014409
TOPIX1000,return,TOPIX1000_return,2010-01-27,-0.0095504415
TOPIX1000,return,TOPIX1000_return,2010-01-28,0.0073750266
TOPIX1000,return,TOPIX1000_return,2010-01-29,-0.014484391
TOPIX1000,return,TOPIX1000_return,2010-02-01,-0.0025828737
TOPIX1000,return,TOPIX1000_return,2010-02-02,0.0161369624
TOPIX1000,return,TOPIX1000_return,2010-02-03,0.0030225476
TOPIX1000,return,TOPIX1000_return,2010-02-04,-0.0052076354
TOPIX1000,return,TOPIX1000_return,2010-02-05,-0.0213619182
TOPIX1000,return,TOPIX1000_return,2010-02-08,-0.0099437255
TOPIX1000,return,TOPIX1000_return,2010-02-09,-0.0016339517
TOPIX1000,return,TOPIX1000_return,2010-02-10,0.0023241506
TOPIX1000,return,TOPIX1000_return,2010-02-12,0.0099601599
TOPIX1000,return,TOPIX1000_return,2010-02-15,-0.0098943004
TOPIX1000,return,TOPIX1000_return,2010-02-16,0.0019486188
TOPIX1000,return,TOPIX1000_return,2010-02-17,0.0222618092
TOPIX1000,return,TOPIX1000_return,2010-02-18,6.38325e-05
TOPIX1000,return,TOPIX1000_return,2010-02-19,-0.0174504448
TOPIX1000,return,TOPIX1000_return,2010-02-22,0.0233739099
TOPIX1000,return,TOPIX1000_return,2010-02-23,-0.0026846063
TOPIX1000,return,TOPIX1000_return,2010-02-24,-0.0126428627
TOPIX1000,return,TOPIX1000_return,2010-02-25,-0.0049804013
TOPIX1000,return,TOPIX1000_return,2010-02-26,0.0030096227
TOPIX1000,return,TOPIX1000_return,2010-03-01,0.0053988588
TOPIX1000,return,TOPIX1000_return,2010-03-02,0.0042038087
TOPIX1000,return,TOPIX1000_return,2010-03-03,0.0033235909
TOPIX1000,return,TOPIX1000_return,2010-03-04,-0.0088545395
TOPIX1000,return,TOPIX1000_return,2010-03-05,0.0147500136
TOPIX1000,return,TOPIX1000_return,2010-03-08,0.018367573
TOPIX1000,return,TOPIX1000_return,2010-03-09,-0.0032341899
TOPIX1000,return,TOPIX1000_return,2010-03-10,-0.0020902552
TOPIX1000,return,TOPIX1000_return,2010-03-11,0.0085660392
TOPIX1000,return,TOPIX1000_return,2010-03-12,0.0065095277
TOPIX1000,return,TOPIX1000_return,2010-03-15,0.0026383508
