index_name,series_id,unique_id,ds,y,lag_1,lag_2,lag_5,vol_5,vol_21,mom_5,mom_21
RUSSELL1000,return,RUSSELL1000_return,2014-07-29,-0.0043212705,-6.66733e-05,-0.0048875274,0.0050982138,0.0036153272889584394,0.005203267855112552,0.0005100374199999949,0.0004894403714285716
RUSSELL1000,return,RUSSELL1000_return,2014-07-30,0.0006409989,-0.0043212705,-6.66733e-05,0.0018371479,0.003034271018441903,0.005287945582516541,-0.001373859440000005,0.00017403327142857157
RUSSELL1000,return,RUSSELL1000_return,2014-07-31,-0.0197931659,0.0006409989,-0.0043212705,0.0005690261,0.002751823666231147,0.005288845290087218,-0.0016130892400000052,0.00018904754761904776
RUSSELL1000,return,RUSSELL1000_return,2014-08-01,-0.0027039336,-0.0197931659,0.0006409989,-0.0048875274,0.008263170114392537,0.006629257028771947,-0.005685527640000005,-0.0010844901619047618
RUSSELL1000,return,RUSSELL1000_return,2014-08-04,0.0070565741,-0.0027039336,-0.0197931659,-6.66733e-05,0.008372863960694747,0.006633372799492005,-0.005248808880000005,-0.001213378357142857
RUSSELL1000,return,RUSSELL1000_return,2014-08-05,-0.0091014345,0.0070565741,-0.0027039336,-0.0043212705,0.009935280494629405,0.006729559812962631,-0.0038241594000000046,-0.0011301548238095236
RUSSELL1000,return,RUSSELL1000_return,2014-08-06,-2.7958e-06,-0.0091014345,0.0070565741,0.0006409989,0.010220955355173651,0.006911586078428814,-0.004780192200000005,-0.0013382376333333332
RUSSELL1000,return,RUSSELL1000_return,2014-08-07,-0.0050692913,-2.7958e-06,-0.0091014345,-0.0197931659,0.01013931731659824,0.00677811069378867,-0.004908951140000005,-0.0009898103190476189
RUSSELL1000,return,RUSSELL1000_return,2014-08-08,0.0112639993,-0.0050692913,-2.7958e-06,-0.0027039336,0.006048768177994545,0.006704530750425686,-0.0019641762200000045,-0.001453325095238095
RUSSELL1000,return,RUSSELL1000_return,2014-08-11,0.003332923,0.0112639993,-0.0050692913,0.0070565741,0.00839296048172753,0.007220021304840615,0.0008294103599999957,-0.0007222330571428569
RUSSELL1000,return,RUSSELL1000_return,2014-08-12,-0.0018738354,0.003332923,0.0112639993,-0.0091014345,0.007849905005513169,0.007261695063946798,8.468013999999579e-05,-0.0006265076619047618
RUSSELL1000,return,RUSSELL1000_return,2014-08-13,0.0072273129,-0.0018738354,0.003332923,-2.7958e-06,0.00623473089983557,0.0071578683996762725,0.0015301999599999958,-0.0009440214857142855
RUSSELL1000,return,RUSSELL1000_return,2014-08-14,0.0045003576,0.0072273129,-0.0018738354,-0.0050692913,0.0066170160015983056,0.0073662923016229835,0.0029762216999999957,-0.0004894758809523807
